UnitNum,time,ope1,ope2,ope3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21
42,1,42.0,0.84,40.0,445.0,549.5,1335.7,1125.79,3.91,5.72,138.55,2211.95,8328.89,1.02,41.96,130.67,2387.98,8087.11,9.3438,0.02,333,2212,100.0,10.46,6.4924
42,2,41.999,0.84,40.0,445.0,549.78,1353.12,1121.86,3.91,5.72,138.5,2211.98,8320.6,1.02,42.03,130.84,2388.1,8087.15,9.3582,0.02,331,2212,100.0,10.66,6.2754
42,3,34.9994,0.84,60.0,449.44,555.3,1355.74,1115.33,5.48,8.0,194.21,2222.97,8352.41,1.02,41.81,183.31,2388.09,8072.98,9.2818,0.02,332,2223,100.0,14.97,8.9828
42,4,42.0017,0.84,40.0,445.0,549.35,1349.56,1116.27,3.91,5.71,138.54,2211.97,8323.16,1.02,41.89,130.59,2388.12,8083.68,9.3356,0.02,329,2212,100.0,10.85,6.4604
42,5,42.0,0.8402,40.0,445.0,549.16,1349.95,1117.53,3.91,5.71,138.89,2212.0,8323.72,1.02,42.04,130.57,2388.09,8094.59,9.3319,0.02,331,2212,100.0,10.56,6.3603
42,6,42.0058,0.8415,40.0,445.0,549.25,1355.85,1119.24,3.91,5.72,138.98,2212.01,8322.98,1.02,41.96,130.92,2388.09,8090.81,9.3595,0.02,330,2212,100.0,10.58,6.3355
42,7,0.0013,0.0,100.0,518.67,641.94,1589.25,1403.73,14.62,21.61,553.87,2387.98,9058.98,1.3,47.19,521.79,2388.08,8140.93,8.3972,0.03,392,2388,100.0,38.87,23.3174
42,8,10.0061,0.2516,20.0,489.05,605.29,1503.65,1305.89,10.52,15.49,394.1,2318.86,8783.95,1.26,45.33,372.19,2388.06,8140.11,8.6795,0.03,370,2319,100.0,28.78,17.1265
42,9,10.0069,0.25,20.0,489.05,604.35,1502.83,1302.42,10.52,15.49,395.57,2318.89,8784.47,1.26,45.27,372.29,2388.06,8133.81,8.6479,0.03,368,2319,100.0,28.52,17.1607
42,10,42.0009,0.84,40.0,445.0,548.83,1351.16,1124.92,3.91,5.71,138.08,2212.0,8324.07,1.02,41.9,130.86,2388.08,8087.29,9.3344,0.02,330,2212,100.0,10.73,6.4841
42,11,19.9994,0.7,0.0,491.19,606.59,1479.18,1239.98,9.35,13.65,335.75,2323.94,8730.74,1.08,44.26,315.23,2388.03,8060.31,9.2031,0.02,366,2324,100.0,24.56,14.7001
42,12,42.0046,0.8407,40.0,445.0,549.16,1349.78,1119.07,3.91,5.71,139.33,2212.02,8326.76,1.02,41.86,130.94,2388.09,8091.46,9.3513,0.02,330,2212,100.0,10.82,6.3936
42,13,20.001,0.7,0.0,491.19,606.78,1487.22,1249.07,9.35,13.65,335.0,2323.92,8725.98,1.08,44.12,315.44,2388.07,8074.63,9.2279,0.02,363,2324,100.0,24.61,14.7721
42,14,41.9995,0.8403,40.0,445.0,549.57,1345.8,1107.15,3.91,5.71,138.29,2211.92,8320.86,1.02,41.87,130.98,2388.05,8090.56,9.3619,0.02,330,2212,100.0,10.92,6.3845
42,15,42.0045,0.84,40.0,445.0,549.48,1356.23,1117.61,3.91,5.71,138.94,2212.01,8315.07,1.02,41.94,130.32,2388.14,8089.52,9.336,0.02,329,2212,100.0,10.64,6.3742
42,16,10.0011,0.25,20.0,489.05,604.54,1500.36,1298.63,10.52,15.49,394.44,2318.86,8780.0,1.26,45.24,371.62,2388.02,8134.46,8.6148,0.03,369,2319,100.0,28.72,17.2832
42,17,25.0026,0.62,80.0,462.54,536.88,1260.16,1043.5,7.05,9.03,175.79,1915.4,8014.79,0.94,36.51,164.25,2028.31,7878.76,10.8644,0.02,306,1915,84.93,14.26,8.7174
42,18,0.0008,0.0,100.0,518.67,642.41,1588.54,1400.42,14.62,21.61,553.82,2388.01,9055.6,1.3,47.44,522.07,2387.99,8135.39,8.4109,0.03,392,2388,100.0,38.97,23.4074
42,19,25.0002,0.6219,80.0,462.54,536.7,1253.92,1045.42,7.05,9.03,175.59,1915.43,8014.87,0.94,36.72,164.43,2028.36,7877.87,10.8907,0.02,307,1915,84.93,14.22,8.6161
